dataset,task,group,method,method_label,accuracy_pct,test_loss,best_epoch,epochs_completed,early_stopped,batch_size,lr,weight_decay,seed,device,input_channels,test_samples,protocol,source,note
ncaltech101,classification,Learning-based,EST,EST adaptation,70.44,,,100,,32,,0.0001,42,NVIDIA L4,,,repository recorded N-Caltech101 result,results/classification/est/est_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Learning-based,EvRepSL,EvRepSL,64.81,,,100,,32,,0.0001,42,NVIDIA L4,,,repository recorded N-Caltech101 result,results/classification/evrepsl/evrepsl_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Learning-based,"EST (End-to-End, learnable QuantizationLayer)",EST End-to-End,64.29,,,100,,16,,0.0001,42,NVIDIA L4,,,repository recorded N-Caltech101 result,results/classification/est/est_e2e_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Learning-based,Event Camera Data Pre-training,Event Camera Data Pre-training,64.12,,,100,,32,,0.0001,42,NVIDIA L4,,,repository recorded N-Caltech101 result,results/classification/event_pretraining/event_pretraining_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Learning-based,EventOrdering,EventOrdering,58.73,,,100,,32,,0.0001,42,NVIDIA L4,,,repository recorded N-Caltech101 result,results/classification/ergo/ergo_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Learning-based,GET,GET,56.7164,,,100,,16,,0.05,42,NVIDIA A100-SXM4-80GB,,,repository recorded N-Caltech101 result,results/classification/get/get_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Learning-based,Matrix-LSTM (end-to-end adapted),Matrix-LSTM (end-to-end adapted),53.16,,,100,,32,,0.0001,42,NVIDIA L4,,,repository recorded N-Caltech101 result,results/classification/matrix_lstm/matrix_lstm_ncaltech101.json,Repository learning-based classification result
ncaltech101,classification,Traditional,timestamp_image,Timestamp Image,52.9277,2.006744,13,100,True,32,,,42,cuda,2,1742,official/full test split,ncaltech101_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
ncaltech101,classification,Traditional,time_surface,Time Surface,51.7796,2.039767,13,100,True,32,,,42,cuda,2,1742,official/full test split,ncaltech101_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
ncaltech101,classification,Traditional,event_frame,Event Frame,49.6556,2.192656,13,100,True,32,,,42,cuda,2,1742,official/full test split,ncaltech101_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
ncaltech101,classification,Traditional,voxel_grid,Voxel Grid,49.6556,2.111234,11,100,True,32,,,42,cuda,10,1742,official/full test split,ncaltech101_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
ncaltech101,classification,Traditional,binary_event_image,Binary Event Image,48.6797,2.253343,20,100,True,32,,,42,cuda,2,1742,official/full test split,ncaltech101_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
nmnist,classification,Learning-based,matrix_lstm,Matrix-LSTM,99.4,,15,25,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,16,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/matrix_lstm/matrix_lstm_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,get,GET,99.33,,23,33,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,12,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/get/get_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,est,EST,99.28,,16,26,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,18,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/est/est_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,ergo,ERGO,99.24,,17,27,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,12,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/ergo/ergo_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,omnievent,OmniEvent,99.0,,26,36,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,8,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/omnievent/omnievent_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,evrepsl,EvRepSL,98.59,,15,25,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,3,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/evrepsl/evrepsl_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Learning-based,event_pretraining,Event Pre-training,98.18,,16,26,True,32,0.0001,0.0001,42,NVIDIA GeForce RTX 4090,2,10000,official/full test split; GPU full aligned run,artifacts/learning_classification/nmnist/20260508_gpu_full_aligned/records/event_pretraining/event_pretraining_nmnist.json,Learning-based representation + ResNet18 classifier
nmnist,classification,Traditional,voxel_grid,Voxel Grid,99.08,0.03406,12,100,True,32,,,42,cuda,10,10000,official/full test split,nmnist_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
nmnist,classification,Traditional,time_surface,Time Surface,98.63,0.05623,26,100,True,32,,,42,cuda,2,10000,official/full test split,nmnist_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
nmnist,classification,Traditional,event_frame,Event Frame,98.28,0.065333,29,100,True,32,,,42,cuda,2,10000,official/full test split,nmnist_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
nmnist,classification,Traditional,timestamp_image,Timestamp Image,98.05,0.065695,6,100,True,32,,,42,cuda,2,10000,official/full test split,nmnist_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
nmnist,classification,Traditional,binary_event_image,Binary Event Image,95.06,0.198405,16,100,True,32,,,42,cuda,2,10000,official/full test split,nmnist_traditional_records.tar.gz,Traditional representation + ResNet18 classifier
