dataset,task,group,method,method_label,aee,outlier_percent,non_outlier_percent,best_epoch,best_val_aee,epochs_completed,early_stopped,train_windows,eval_windows,valid_count,window_alignment,protocol,source,note
mvsec,optical_flow,Learning-based,est,EST,2.0428562698079578,23.357402371458356,76.64259762854164,65,1.7453340113162994,75,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_est_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Learning-based,get,GET,2.0451929695844377,23.299550406125118,76.70044959387488,33,1.844813245534897,43,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_get_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Traditional,voxel_grid,Voxel Grid,2.0758931257694653,23.85002723496451,76.14997276503549,77,1.7799035966396333,87,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_voxel_grid_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Traditional,timestamp_image,Timestamp Image,2.1122119027252997,24.829615560736517,75.17038443926349,24,2.1892493724823,34,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_timestamp_image_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Learning-based,ergo,ERGO,2.145561224899664,23.80291993533036,76.19708006466963,57,1.8119640290737151,67,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_ergo_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Traditional,binary_event_image,Binary Event Image,2.1625269670574045,25.269286668548716,74.73071333145128,54,1.8693244636058808,64,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_binary_event_image_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Learning-based,matrixlstm,Matrix-LSTM,2.18565403580255,25.195438309359606,74.8045616906404,85,1.7705821633338927,95,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_matrixlstm_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Traditional,event_frame,Event Frame,2.20850480639565,25.812200498346247,74.18779950165376,38,1.8975054681301118,48,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_event_frame_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Traditional,time_surface,Time Surface,2.2628490639129817,26.566550307599385,73.43344969240061,36,1.9055821418762207,46,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_time_surface_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Learning-based,evrepsl,EvRepSL,2.381711952721895,27.898661683544493,72.10133831645551,81,1.771200954914093,91,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_evrepsl_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
mvsec,optical_flow,Learning-based,event_pretraining,Event Pre-training,2.5401478751244966,30.672413916326636,69.32758608367337,30,1.8606752753257751,40,True,149,871,78355160,timestamp,"float64 event timestamps; timestamp-aligned windows; outdoor_day1/2 train, indoor_flying1/2/3 eval",results_float64_cached_20260516/original_od12_if123_full6m_event_pretraining_e100_block-random_earlystop.json,Shared EVFlowNet-like decoder; adapted reproduction benchmark
